speaker,f0_mean,f0_SD,f0_med,f0_min,f0_max
F5,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
F6,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
F12,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
F15,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
F16,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
F17,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
M4,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
M5,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
M8,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
M9,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
M10,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
