intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
ana_syls0,0.04057694681620298,0.001997644158074447,0.8242151667852776,0.062341238161355554,-2.0857953609675484,0.03699716382461869,NA,NA
ana_syls1,0.1053149670094222,0.005224206401144062,2.123048253561877,0.16139560811319134,-1.4687072492710644,0.14191221036972862,NA,NA
ana_syls2,1.232104951854616e-5,1.231047078672926e-5,1.2331637340963152e-5,5.3997297394331815e-9,-25793.81415857149,0,NA,NA
ana_syls3,1.6736390370140182e-6,1.4302780222066337e-8,1.958407793958633e-4,4.06659205265027e-6,-5.473933175151447,4.401551017439397e-8,NA,NA
foot_syls1,0.04057694681620298,0.001997644158074447,0.8242151667852776,0.062341238161355554,-2.0857953609675484,0.03699716382461869,NA,NA
foot_syls2,0.07021668319881649,0.07012338844185997,0.0703101020785781,4.7631890989232845e-5,-3915.5993486968455,0,NA,NA
foot_syls3,0.02617474733890965,0.001059943825557219,0.6463714224624945,0.042822929826478756,-2.226694028961867,0.02596772977170374,NA,NA
foot_syls4,0.01679742088134095,4.2839771810073465e-4,0.6586247693283993,0.03144370954987943,-2.1830491392057603,0.029032191484615406,NA,NA
wrd_end_syl1,0.04057694681620298,0.001997644158074447,0.8242151667852776,0.062341238161355554,-2.0857953609675484,0.03699716382461869,NA,NA
wrd_end_syl2,0.003135778531336809,1.2227405020516656e-4,0.08041859234313105,0.005190717456067328,-3.48263610862862,4.965027546337274e-4,NA,NA
wrd_end_syl3,0.0024981481043911545,5.692670709512931e-5,0.10962769971999815,0.0048199089380182355,-3.1057468518431017,0.0018979912647791835,NA,NA
