speaker,A0131,A0221,A0321,A0423,A1111,A1211,A1231,A1241,A1422,A2422,A3422,H0322,H0422,H1321,H1322,TOTAL
F12,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,73
F15,5,5,5,5,5,5,0,5,6,5,5,5,5,6,6,73
F16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,75
F17,5,5,5,2,5,5,1,5,5,5,5,5,5,5,5,68
F5,5,5,5,5,4,5,5,5,5,5,5,5,6,5,5,75
F6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,75
M10,5,5,5,4,5,5,5,5,5,6,5,5,5,5,5,75
M4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,71
M5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,73
M8,5,5,5,3,5,1,0,5,5,5,5,5,5,5,5,64
M9,5,5,5,0,5,5,1,5,5,5,5,5,5,5,5,66
TOTAL,55,55,55,38,54,51,35,55,56,56,55,55,56,56,56,788
