intercept,slope,estimate,conf.low,conf.high,std.error,z.value,df,p.value
modeMDC,modeMWH,0.125,-0.18572729448895908,0.4358286969610259,0.158,0.79,611,0.4297089785343593
modeMDC,modeMYN,1.619,1.306687575577787,1.930809934986827,0.159,10.187,611.01,1.2891722670996658e-22
modeMDC,modeMDQ,2.47,2.1324449019099587,2.80667903590939,0.172,14.386,611.15,1.2559695440307796e-40
modeMWH,modeMYN,1.494,1.1820682046246014,1.8053279034708138,0.159,9.413,611.02,9.668624832801178e-20
modeMWH,modeMDQ,2.345,2.006757181272998,2.682265354083901,0.172,13.632,611.19,3.883013108324471e-37
modeMYN,modeMDQ,0.851,0.5215861542656455,1.1800402729957395,0.168,5.075,611.1,5.145674712671963e-7
fin_phon%,fin_phonL%,0.568,0.17694498469298564,0.9600398208239729,0.199,2.851,612.99,0.004500325664516664
fin_phon%,fin_phon^[L%],2.707,2.138920478737269,3.2758835420679553,0.289,9.353,611.52,1.5898235703096338e-19
fin_phonL%,fin_phon^[L%],2.139,1.508932094822673,2.768887120479161,0.321,6.668,611.61,5.815116291997581e-11
intercept,genderM,-7.423,-11.44260834496012,-3.40421147686068,1.777,-4.179,8.99,0.002384388211208803
