intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,92.041,1.861,88.393,95.689,49.448,30.74,7.3154e-31,5.85e-30,p<0.001
modeMWH,92.444,1.872,88.776,96.113,49.391,31.41,2.4089e-31,1.93e-30,p<0.001
modeMYN,92.852,1.87,89.186,96.518,49.641,31.33,2.3629e-31,1.89e-30,p<0.001
modeMDQ,94.352,1.877,90.673,98.031,50.264,31.76,7.5780e-32,6.06e-31,p<0.001
acc_phonH*,92.041,1.861,88.393,95.689,49.448,30.74,7.3154e-31,5.85e-30,p<0.001
acc_phonL*H,92.563,1.371,89.876,95.249,67.526,9.14,1.1901e-13,9.52e-13,p<0.001
acc_phon>H*,92.821,1.612,89.661,95.981,57.567,17.45,2.3627e-21,1.89e-20,p<0.001
acc_phon^[L*]H,92.829,1.591,89.71,95.948,58.334,16.56,1.3049e-20,1.04e-19,p<0.001
acc_phonL*^[H],96.671,1.421,93.886,99.456,68.037,10.55,2.7427e-15,2.19e-14,p<0.001
acc_phon^[L*H],96.386,1.396,93.649,99.122,69.039,9.83,1.5318e-14,1.23e-13,p<0.001
