"speaker","MDC1","MDC2","MDC3","MDQ1","MDQ2","MDQ3","MWH1","MWH2","MWH3","MYN1","MYN2","MYN3","Total"
"F5",5,5,5,5,5,5,5,5,5,5,5,4,59
"F6",5,5,5,5,5,5,5,5,5,5,5,5,60
"F12",5,5,5,5,5,5,5,5,5,5,5,5,60
"F15",5,5,5,5,5,5,5,5,5,5,5,5,60
"F16",5,5,5,5,5,5,5,5,5,5,5,5,60
"F17",5,4,5,5,5,5,5,1,5,5,5,5,55
"M4",5,5,5,5,2,5,5,5,5,5,5,5,57
"M5",5,5,5,5,5,5,5,5,5,5,5,5,60
"M8",5,6,5,5,5,5,5,5,5,5,5,5,61
"M9",5,3,5,0,3,3,5,5,5,5,3,5,47
"M10",5,5,5,5,5,5,5,5,5,5,5,5,60
"Total",55,53,55,50,50,53,55,51,55,55,53,54,639
