"","holm","hochberg","hommel","bonferroni","BH","BY","none"
"1",0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0
"5",0.0336,0.024,0.013,0.1248,0.00162077922077922,0.00834176676383012,0.0013
"6",0.054,0.0406,0.0318,0.5088,0.00571685393258427,0.0294232931401821,0.0053
"7",0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0
"11",0.0336,0.024,0.013,0.1248,0.00162077922077922,0.00834176676383012,0.0013
"12",0.054,0.0406,0.0315,0.432,0.00502325581395349,0.0258535079039994,0.0045
"13",0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0
"17",0.0336,0.024,0.013,0.1248,0.00162077922077922,0.00834176676383012,0.0013
"18",0.054,0.0406,0.0315,0.4512,0.00518620689655172,0.0266921785307703,0.0047
"19",0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0
"23",0.0336,0.024,0.014,0.1344,0.00170126582278481,0.00875601224090445,0.0014
"24",0.0336,0.0312,0.0192,0.2304,0.00274285714285714,0.0141168360618664,0.0024
"25",0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0
"29",0.0336,0.024,0.013,0.1248,0.00162077922077922,0.00834176676383012,0.0013
"30",0.054,0.0406,0.0318,0.5088,0.00571685393258427,0.0294232931401821,0.0053
"31",0,0,0,0,0,0,0
"32",1,1,1,1,1,1,0.9987
"33",1,1,1,1,1,1,0.996
"34",0,0,0,0,0,0,0
"35",0.0217,0.0217,0.0098,0.0672,0.00101818181818182,0.00524034065932918,7e-04
"36",1,1,1,1,1,1,1
"37",0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0
"41",0.0261,0.024,0.0108,0.0864,0.00127058823529412,0.00653941670512927,9e-04
"42",0.0336,0.024,0.0145,0.144,0.00177777777777778,0.00914980115120967,0.0015
"43",0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0
"47",0.0336,0.024,0.01276,0.1152,0.0016,0.0082348210360887,0.0012
"48",0.054,0.0406,0.0348,0.5568,0.00618666666666667,0.0318413080062097,0.0058
"49",0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0
"53",0.0336,0.024,0.01276,0.1152,0.0016,0.0082348210360887,0.0012
"54",0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0
"59",0.0336,0.024,0.01276,0.1152,0.0016,0.0082348210360887,0.0012
"60",0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",0.0336,0.024,0.01276,0.1152,0.0016,0.0082348210360887,0.0012
"66",0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0
"71",0.0336,0.024,0.014,0.1344,0.00170126582278481,0.00875601224090445,0.0014
"72",0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0
"77",0.0336,0.024,0.0145,0.144,0.00177777777777778,0.00914980115120967,0.0015
"78",0.054,0.0406,0.0315,0.432,0.00502325581395349,0.0258535079039994,0.0045
"79",1,1,1,1,1,1,0.9676
"80",0,0,0,0,0,0,0
"81",1,1,1,1,1,1,1
"82",0,0,0,0,0,0,0
"83",0.024,0.024,0.0104,0.0768,0.00114626865671642,0.00589957327958594,8e-04
"84",0.054,0.054,0.054,0.864,0.00949450549450549,0.0488659709833835,0.009
"85",0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0
"89",0.0336,0.024,0.013,0.1248,0.00162077922077922,0.00834176676383012,0.0013
"90",0.0128,0.0128,0.0072,0.0384,0.000590769230769231,0.00304054930563275,4e-04
"91",0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0
"95",0.0336,0.024,0.0145,0.1536,0.00187317073170732,0.00964076609103068,0.0016
"96",0.0336,0.0308,0.0176,0.2112,0.00254457831325301,0.0130963418887194,0.0022
