stimMetre,numReps,numSyls,phrDur,s1,s2,s3,s4,s5,s6,s7,s8,s9
A0131_013,55,4,1.031,0.356,0.219,0.076,0.38,0,0,0,0,0
A0221_022,55,4,0.901,0.336,0.127,0.242,0.196,0,0,0,0,0
A0321_032,55,5,1.016,0.338,0.128,0.114,0.234,0.202,0,0,0,0
A0423_032,18,5,1.012,0.225,0.234,0.128,0.227,0.199,0,0,0,0
A0423_042,38,6,1.035,0.21,0.047,0.209,0.122,0.241,0.206,0,0,0
A1111_0111,1,3,0.67,0.112,0.181,0.377,0,0,0,0,0,0
A1111_111,54,3,0.701,0.107,0.186,0.409,0,0,0,0,0,0
A1211_0121,6,4,0.85,0.103,0.184,0.122,0.441,0,0,0,0,0
A1211_121,51,4,0.827,0.093,0.237,0.125,0.372,0,0,0,0,0
A1231_0122,5,5,0.807,0.103,0.165,0.108,0.222,0.21,0,0,0,0
A1231_0123,8,6,0.861,0.116,0.181,0.106,0.212,0.051,0.196,0,0,0
A1231_122,7,5,0.86,0.099,0.169,0.136,0.245,0.211,0,0,0,0
A1231_123,35,6,0.878,0.082,0.196,0.119,0.228,0.052,0.2,0,0,0
A1241_124,55,7,0.912,0.075,0.17,0.057,0.235,0.07,0.157,0.147,0,0
A1422_142,56,7,1.057,0.061,0.233,0.143,0.163,0.098,0.196,0.163,0,0
A2422_242,56,8,1.147,0.153,0.05,0.245,0.096,0.178,0.057,0.206,0.162,0
A3422_342,55,9,1.254,0.089,0.149,0.056,0.255,0.094,0.18,0.061,0.203,0.167
H0322_032,55,5,0.951,0.218,0.176,0.12,0.243,0.195,0,0,0,0
H0422_042,56,6,1.068,0.214,0.176,0.127,0.121,0.229,0.201,0,0,0
H1321_132,56,6,0.92,0.067,0.254,0.139,0.055,0.232,0.173,0,0,0
H1322_132,56,6,0.905,0.068,0.211,0.157,0.055,0.238,0.177,0,0,0
